symbol,github,tags
IOTX,https://github.com/iotexproject/iotex-core,"Platform, IoT, Hashkey Capital Portfolio"
MAGIC,https://github.com/TreasureProject/,"Gaming, Metaverse, Arbitrum Ecosystem"
MC,unknown,"Gaming, Binance Launchpool, Governance"
USTC,https://github.com/terra-project,"Cosmos Ecosystem, Stablecoin, Algorithmic Stablecoin"
KDA,https://github.com/kadena-io/chainweb-node,"Mineable, PoW, Blake2S"
UNIBOT,unknown,"Ethereum Ecosystem, Telegram Bot"
BORA,unknown,"Marketplace, Gaming"
CKB,https://github.com/nervosnetwork,"Mineable, PoW, Platform"
DGB,https://github.com/DigiByte-Core,"Mineable, PoW, Multiple algorithms"
STG,unknown,"Ethereum Ecosystem, Avalanche Ecosystem, Polygon Ecosystem"
DAO,https://github.com/daomaker,"DeFi, Governance, Launchpad"
MOB,https://github.com/mobilecoinfoundation/mobilecoin,"Privacy, Payments, Arrington XRP Capital Portfolio"
RBN,https://github.com/ribbon-finance,"Derivatives, Coinbase Ventures Portfolio, Real World Assets"
CORE,unknown,
SKL,https://github.com/skalenetwork,"Platform, Scaling, Smart Contracts"
FLUX,https://github.com/runonflux,"Mineable, PoW, Distributed Computing"
UMA,https://github.com/UMAprotocol,"DeFi, Derivatives, Oracles"
ZEN,https://github.com/HorizenOfficial,"Mineable, PoW, Medium of Exchange"
GAL,unknown,"Binance Launchpool, MVB, Spartan Group"
RSR,https://github.com/reserve-protocol,"Store Of Value, DeFi, Coinbase Ventures Portfolio"
TOMO,https://github.com/tomochain/,"Platform, Alameda Research Portfolio, Injective Ecosystem"
EVER,https://github.com/tonlabs/ever-sdk,Everscale Ecosystem
STPT,unknown,"DeFi, Payments"
LSK,https://github.com/LiskHQ/lisk-sdk,"DPoS, Platform, Enterprise Solutions"
XNO,https://github.com/nanocurrency,"DAG, Blake2b, Medium of Exchange"
STORJ,https://github.com/storj/storj,"Platform, Distributed Computing, Filesharing"
ACH,https://github.com/Alchemy-GPS,DWF Labs Portfolio
KNC,https://github.com/kybernetwork,"Marketplace, Decentralized Exchange (DEX) Token, DeFi"
CTSI,https://github.com/cartesi,"PoS, Platform, Cosmos Ecosystem"
CELR,https://github.com/celer-network,"Platform, Enterprise Solutions, Zero Knowledge Proofs"
PLA,https://github.com/playdapp,"Gaming, Ethereum Ecosystem, Metaverse"
PUNDIX,unknown,
PYR,unknown,"Collectibles & NFTs, Gaming, Entertainment"
SNT,https://github.com/status-im,"Media, Content Creation, Privacy"
AMP,https://github.com/amptoken,"SEC Security Token, Alleged SEC Securities"
